"сверло ц/х ф10,4 шлиф.",AG-000315CL,1
"сверло ц/х ф10,5 шлиф.",AG-000316CL,1
"сверло ц/х ф10,6 шлиф.",AG-000317CL,1
"сверло ц/х ф10,7 шлиф.",AG-000318CL,1
"сверло ц/х ф10,8 шлиф.",AG-000319CL,1
"сверло ц/х ф10,9 шлиф.",AG-000320CL,1
"сверло ц/х ф11,0 шлиф.",AG-000321CL,1
"сверло ц/х ф11,1 шлиф.",AG-000322CL,1
"сверло ц/х ф11,2 шлиф.",AG-000323CL,1
"сверло ц/х ф11,3 шлиф.",AG-000324CL,1
"сверло ц/х ф11,4 шлиф.",AG-000325CL,1
"сверло ц/х ф11,5 шлиф.",AG-000326CL,1
"сверло ц/х ф11,6 шлиф.",AG-000327CL,1
"сверло ц/х ф11,7 шлиф.",AG-000328CL,1
"сверло ц/х ф11,8 шлиф.",AG-000329CL,1
"сверло ц/х ф11,9 шлиф.",AG-000330CL,1
"сверло ц/х ф12,0 шлиф.",AG-000331CL,1
"сверло ц/х ф12,0 шлиф. левое",AG-000332CL,1
"сверло ц/х ф12,1 шлиф.",AG-000333CL,1
"сверло ц/х ф12,2 шлиф.",AG-000334CL,1
"сверло ц/х ф12,3 шлиф.",AG-000335CL,1
"сверло ц/х ф12,4 шлиф.",AG-000336CL,1
"сверло ц/х ф12,5 шлиф.",AG-000337CL,1
"сверло ц/х ф12,6 шлиф.",AG-000338CL,1
"сверло ц/х ф12,7 шлиф.",AG-000339CL,1
"сверло ц/х ф12,8 шлиф.",AG-000340CL,1
"сверло ц/х ф12,9 шлиф.",AG-000341CL,1
"сверло ц/х ф13,0 шлиф.",AG-000342CL,1
"сверло ц/х ф13,1 шлиф.",AG-000343CL,1
"сверло ц/х ф13,2 шлиф.",AG-000344CL,1
"сверло ц/х ф13,3 шлиф.",AG-000345CL,1
"сверло ц/х ф13,4 шлиф.",AG-000346CL,1
"сверло ц/х ф13,5 шлиф.",AG-000347CL,1
"сверло ц/х ф13,6 шлиф.",AG-000348CL,1
"сверло ц/х ф13,7 шлиф.",AG-000349CL,1
"сверло ц/х ф13,8 шлиф.",AG-000350CL,1
"сверло ц/х ф13,9 шлиф.",AG-000351CL,1
"сверло ц/х ф14,0 шлиф.",AG-000352CL,1
"сверло ц/х ф14,1 шлиф.",AG-000353CL,1
"сверло ц/х ф14,2 шлиф.",AG-000354CL,1
"сверло ц/х ф14,25 шлиф.",AG-000355CL,1
"сверло ц/х ф14,3 шлиф.",AG-000356CL,1
"сверло ц/х ф14,4 шлиф.",AG-000357CL,1
"сверло ц/х ф14,5 шлиф.",AG-000358CL,1
"сверло ц/х ф14,6 шлиф.",AG-000359CL,1
"сверло ц/х ф14,7 шлиф.",AG-000360CL,1
"сверло ц/х ф14,8 шлиф.",AG-000361CL,1
"сверло ц/х ф14,9 шлиф.",AG-000362CL,1
"сверло ц/х ф15,0 шлиф.",AG-000363CL,1
"сверло ц/х ф15,1 шлиф.",AG-000364CL,1
"сверло ц/х ф15,2 шлиф.",AG-000365CL,1
"сверло ц/х ф15,3 шлиф.",AG-000366CL,1
"сверло ц/х ф15,4 шлиф.",AG-000367CL,1
"сверло ц/х ф15,5 шлиф.",AG-000368CL,1
"сверло ц/х ф15,6 шлиф.",AG-000369CL,1
"сверло ц/х ф15,8 шлиф.",AG-000370CL,1
"сверло ц/х ф16,0 шлиф.",AG-000371CL,1
"сверло ц/х ф16,5 шлиф.",AG-000372CL,1
"сверло ц/х ф17,0 шлиф.",AG-000373CL,1
"сверло ц/х ф17,5 шлиф.",AG-000374CL,1
"сверло ц/х ф18,0 шлиф.",AG-000375CL,1
"сверло ц/х ф18,5 шлиф.",AG-000376CL,1
"сверло ц/х ф19,0 шлиф.",AG-000377CL,1
"сверло ц/х ф19,5 шлиф.",AG-000378CL,1
"сверло ц/х ф20,0 шлиф.",AG-000379CL,1
"метчик м-р гаечный 2*0,4 осн",AG-000635CL,1
"метчик м-р гаечный 3*0,5 осн",AG-000636CL,1
"метчик м-р гаечный 4*0,7 осн",AG-000637CL,1
"метчик м-р гаечный 5*0,8 осн",AG-000638CL,1
"метчик м-р гаечный 6*1,0 осн",AG-000639CL,1
"метчик м-р гаечный 8*1,0",AG-000640CL,1
"метчик м-р гаечный 8*1,25 осн.",AG-000641CL,1
"метчик м-р гаечный 10*1,0",AG-000642CL,1
"метчик м-р гаечный 10*1,25",AG-000643CL,1
"метчик м-р гаечный 10*1,5 осн",AG-000644CL,1
"метчик м-р гаечный 12*1,25",AG-000645CL,1
"метчик м-р гаечный 12*1,5",AG-000646CL,1
"метчик м-р гаечный 12*1,75 осн",AG-000647CL,1
"метчик м-р гаечный 14*1,5",AG-000648CL,1
"метчик м-р гаечный 14*2,0 осн",AG-000649CL,1
"метчик м-р гаечный 16*1,5",AG-000650CL,1
"метчик м-р гаечный 16*2,0 осн",AG-000651CL,1
"метчик м-р гаечный 18*1,5",AG-000652CL,1
"метчик м-р гаечный 18*2,5 осн",AG-000653CL,1
"метчик м-р гаечный 20*1,5",AG-000654CL,1
"метчик м-р гаечный 20*2,5 осн",AG-000655CL,1
"метчик м-р гаечный 22*2,0",AG-000656CL,1
"метчик м-р гаечный 24*3,0 осн",AG-000657CL,1
"метчик м-р гаечный 27*2,0",AG-000658CL,1
"метчик м-р гаечный 30*3,5 осн",AG-000659CL,1
"метчик м-р М 2,5*0,45 осн Р6М5",AG-000404CL,1
"метчик м-р М 2*0,4 осн Р6М5",AG-000405CL,1
